case_id,person_id,age_group,gender,day,weather,last_latitude,last_longitude,hour,average_distance,average_speed,usual_area,previous_area,time_since_last_seen,top_location_1_lat,top_location_1_lon,top_location_2_lat,top_location_2_lon,top_location_3_lat,top_location_3_lon,top_location_1_count,top_location_2_count,top_location_3_count,target_area
MP-2026-001,2,46-55,Male,Tuesday,Clear,13.15758,77.70921,14,14.89,11.65,Area C,Area E,25,12.947211,77.610661,12.94757,77.612509,12.947625,77.613817,1,1,1,Area A
MP-2026-002,11,36-45,Male,Wednesday,Storm,13.17803,77.69316,13,7.95,9.1,Area C,Area C,42,12.980248,77.61009,12.980333,77.60938,12.980351,77.605414,1,1,1,Area A
MP-2026-003,11,56+,Female,Monday,Storm,13.12743,77.60636,16,15.12,5.14,Area C,Area E,18,12.980248,77.61009,12.980333,77.60938,12.980351,77.605414,1,1,1,Area C
MP-2026-004,6,18-25,Male,Wednesday,Storm,13.10491,77.72343,10,9.82,8.17,Area C,Area B,38,12.978153,77.605202,12.979516,77.610734,12.980467,77.604072,1,1,1,Area A
MP-2026-005,6,18-25,Non-binary,Sunday,Rain,12.96807,77.70094,14,14.1,6.44,Area A,Area E,37,12.978153,77.605202,12.979516,77.610734,12.980467,77.604072,1,1,1,Area E
MP-2026-006,6,56+,Non-binary,Friday,Clear,12.9865,77.70475,13,5.1,11.66,Area E,Area A,37,12.978153,77.605202,12.979516,77.610734,12.980467,77.604072,1,1,1,Area D
MP-2026-007,6,46-55,Female,Monday,Clear,13.03767,77.67062,18,13.69,8.18,Area B,Area A,41,12.978153,77.605202,12.979516,77.610734,12.980467,77.604072,1,1,1,Area C
MP-2026-008,1,46-55,Male,Saturday,Rain,13.06607,77.66776,16,10.68,5.36,Area D,Area A,13,12.978303,77.608128,12.978985,77.609356,12.979537,77.607287,1,1,1,Area C
MP-2026-009,12,56+,Female,Sunday,Rain,12.91749,77.58442,11,12.24,11.62,Area C,Area D,47,12.948465,77.613611,12.949094,77.614418,12.949381,77.613207,1,1,1,Area D
MP-2026-010,5,36-45,Male,Monday,Clear,12.95009,77.50681,19,11.0,4.77,Area D,Area D,43,12.967912,77.5984,12.968047,77.597053,12.968112,77.595259,1,1,1,Area C
