case_id,person_id,age_group,gender,last_latitude,last_longitude,last_seen_time,day,weather,usual_area,average_distance,average_speed,previous_area,time_since_last_seen,target_area
MP-2026-001,2,46-55,Male,13.15758,77.70921,14,Tuesday,Clear,Area C,14.89,11.65,Area E,25,Area A
MP-2026-002,11,36-45,Male,13.17803,77.69316,13,Wednesday,Storm,Area C,7.95,9.1,Area C,42,Area A
MP-2026-003,11,56+,Female,13.12743,77.60636,16,Monday,Storm,Area C,15.12,5.14,Area E,18,Area C
MP-2026-004,6,18-25,Male,13.10491,77.72343,10,Wednesday,Storm,Area C,9.82,8.17,Area B,38,Area A
MP-2026-005,6,18-25,Non-binary,12.96807,77.70094,14,Sunday,Rain,Area A,14.1,6.44,Area E,37,Area E
MP-2026-006,6,56+,Non-binary,12.9865,77.70475,13,Friday,Clear,Area E,5.1,11.66,Area A,37,Area D
MP-2026-007,6,46-55,Female,13.03767,77.67062,18,Monday,Clear,Area B,13.69,8.18,Area A,41,Area C
MP-2026-008,1,46-55,Male,13.06607,77.66776,16,Saturday,Rain,Area D,10.68,5.36,Area A,13,Area C
MP-2026-009,12,56+,Female,12.91749,77.58442,11,Sunday,Rain,Area C,12.24,11.62,Area D,47,Area D
MP-2026-010,5,36-45,Male,12.95009,77.50681,19,Monday,Clear,Area D,11.0,4.77,Area D,43,Area C
MP-2026-011,12,18-25,Male,13.03385,77.61431,17,Tuesday,Rain,Area D,9.7,3.96,Area D,17,Area A
MP-2026-012,5,56+,Male,13.10991,77.57976,20,Saturday,Storm,Area B,14.32,7.94,Area D,35,Area B
MP-2026-013,1,18-25,Male,13.03673,77.56071,20,Saturday,Rain,Area E,7.3,12.42,Area C,1,Area D
MP-2026-014,6,46-55,Male,13.08819,77.67523,14,Monday,Cloudy,Area D,10.41,3.46,Area A,9,Area C
MP-2026-015,3,26-35,Male,12.93102,77.67629,10,Saturday,Clear,Area B,12.55,6.82,Area E,29,Area C
MP-2026-016,4,18-25,Female,13.04469,77.73482,21,Monday,Clear,Area B,11.38,13.32,Area C,8,Area C
MP-2026-017,7,36-45,Non-binary,12.99947,77.6562,11,Saturday,Rain,Area B,15.74,12.86,Area A,26,Area A
MP-2026-018,4,36-45,Female,13.10167,77.58437,9,Tuesday,Cloudy,Area D,14.99,4.19,Area D,29,Area E
MP-2026-019,12,26-35,Female,13.06646,77.61128,8,Wednesday,Storm,Area C,9.12,13.48,Area E,30,Area B
MP-2026-020,8,36-45,Non-binary,13.18081,77.54938,11,Thursday,Clear,Area B,17.9,12.81,Area C,5,Area D
MP-2026-021,11,56+,Female,13.05566,77.59478,20,Monday,Storm,Area B,9.86,4.04,Area D,35,Area D
MP-2026-022,5,26-35,Female,12.97229,77.53683,21,Monday,Storm,Area E,7.33,9.59,Area A,34,Area E
MP-2026-023,1,18-25,Female,13.13322,77.79155,12,Thursday,Cloudy,Area C,5.18,5.53,Area A,14,Area A
MP-2026-024,1,46-55,Non-binary,13.0519,77.70828,9,Saturday,Cloudy,Area C,15.45,10.87,Area A,4,Area D
MP-2026-025,10,18-25,Male,13.17827,77.61927,9,Sunday,Rain,Area A,13.62,13.51,Area C,25,Area B
MP-2026-026,12,56+,Male,13.06656,77.69019,8,Saturday,Clear,Area D,10.45,13.63,Area A,8,Area C
MP-2026-027,3,56+,Non-binary,13.04021,77.73543,19,Saturday,Clear,Area D,15.78,11.76,Area A,22,Area B
MP-2026-028,5,36-45,Non-binary,13.16032,77.68093,16,Wednesday,Rain,Area A,10.54,10.17,Area B,46,Area E
MP-2026-029,4,36-45,Male,12.971,77.7238,11,Saturday,Storm,Area E,5.87,9.54,Area A,17,Area A
MP-2026-030,3,56+,Female,12.94316,77.77629,12,Friday,Clear,Area A,7.0,4.27,Area B,26,Area A
MP-2026-031,9,18-25,Female,12.91601,77.67734,10,Thursday,Cloudy,Area E,9.13,8.55,Area B,35,Area E
MP-2026-032,10,56+,Male,12.95445,77.57102,8,Tuesday,Clear,Area D,10.41,3.54,Area C,1,Area B
MP-2026-033,12,36-45,Non-binary,13.15004,77.51559,9,Wednesday,Storm,Area D,15.97,12.93,Area A,12,Area E
